Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Sexe,Nacionalitat,Edat_quinquennal,Nombre
2016,8,Nou Barris,51,Verdun,Dona,Estrangera,30-34 anys,176
2016,8,Nou Barris,52,la Prosperitat,Dona,Estrangera,30-34 anys,265
2016,8,Nou Barris,53,la Trinitat Nova,Dona,Estrangera,30-34 anys,98
2016,8,Nou Barris,54,Torre Baró,Dona,Estrangera,30-34 anys,26
2016,8,Nou Barris,55,Ciutat Meridiana,Dona,Estrangera,30-34 anys,177
2016,8,Nou Barris,56,Vallbona,Dona,Estrangera,30-34 anys,7
2016,9,Sant Andreu,57,la Trinitat Vella,Dona,Estrangera,30-34 anys,150
2016,9,Sant Andreu,58,Baró de Viver,Dona,Estrangera,30-34 anys,16
2016,9,Sant Andreu,59,el Bon Pastor,Dona,Estrangera,30-34 anys,118
2016,9,Sant Andreu,60,Sant Andreu,Dona,Estrangera,30-34 anys,365
2016,9,Sant Andreu,61,la Sagrera,Dona,Estrangera,30-34 anys,318
2016,9,Sant Andreu,62,el Congrés i els Indians,Dona,Estrangera,30-34 anys,158
2016,9,Sant Andreu,63,Navas,Dona,Estrangera,30-34 anys,246
2016,10,Sant Martí,64,el Camp de l'Arpa del Clot,Dona,Estrangera,30-34 anys,581
2016,10,Sant Martí,65,el Clot,Dona,Estrangera,30-34 anys,324
2016,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Dona,Estrangera,30-34 anys,268
2016,10,Sant Martí,67,la Vila Olímpica del Poblenou,Dona,Estrangera,30-34 anys,123
2016,10,Sant Martí,68,el Poblenou,Dona,Estrangera,30-34 anys,497
2016,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Dona,Estrangera,30-34 anys,183
2016,10,Sant Martí,70,el Besòs i el Maresme,Dona,Estrangera,30-34 anys,300
2016,10,Sant Martí,71,Provençals del Poblenou,Dona,Estrangera,30-34 anys,251
2016,10,Sant Martí,72,Sant Martí de Provençals,Dona,Estrangera,30-34 anys,216
2016,10,Sant Martí,73,la Verneda i la Pau,Dona,Estrangera,30-34 anys,223
2016,1,Ciutat Vella,1,el Raval,Dona,Estrangera,35-39 anys,1162
